R_fighter,B_fighter,Winner,weight_class,R_wins,R_losses,B_wins,B_losses,fight_number,B_Stance,B_Height_cms,B_Reach_cms,B_age,B_win_by_Decision,B_win_by_KO/TKO,B_win_by_Submission,R_Stance,R_Height_cms,R_Reach_cms,R_age,R_win_by_Decision,R_win_by_KO/TKO,R_win_by_Submission,Referee,date,location,title_bout,B_avg_KD,B_avg_SIG_STR_pct,B_avg_TD_pct,B_avg_TOTAL_STR_att,B_avg_TOTAL_STR_landed,B_avg_TD_att,B_avg_TD_landed,R_avg_KD,R_avg_SIG_STR_pct,R_avg_TD_pct,R_avg_TOTAL_STR_att,R_avg_TOTAL_STR_landed,R_avg_TD_att,R_avg_TD_landed
Adrian Yanez,Gustavo Lopez,Red,Bantamweight,1,0,1,1,0,Orthodox,165.1,170.18,31,0,0,1,Orthodox,170.18,177.8,27,0,1,0,Chris Tognoni,44275,"Las Vegas, Nevada, USA",FALSE,0,0.42,0.33,76.5,41,1.5,1,1,0.5,0,35,18,0,0
Trevin Giles,Roman Dolidze,Red,Middleweight,4,2,2,0,1,Orthodox,187.96,193.04,32,1,1,0,Orthodox,182.88,187.96,28,1,3,0,Herb Dean,44275,"Las Vegas, Nevada, USA",FALSE,0.5,0.66,0.3,113.5,68.5,2.5,1.5,1.03125,0.576875,0.40625,93.125,57.21875,1.28125,0.78125
Tai Tuivasa,Harry Hunsucker,Red,Heavyweight,4,3,0,0,2,Orthodox,187.96,190.5,32,0,0,0,Southpaw,187.96,190.5,28,1,3,0,Herb Dean,44275,"Las Vegas, Nevada, USA",FALSE,,,,,,,,0.546875,0.53890625,0,70.5,41.390625,0.03125,0
Cheyanne Buys,Montserrat Conejo,Blue,WomenStrawweight,0,0,0,0,3,Southpaw,152.4,154.94,28,0,0,0,Switch,160.02,160.02,25,0,0,0,Mark Smith,44275,"Las Vegas, Nevada, USA",FALSE,,,,,,,,,,,,,,
Marion Reneau,Macy Chiasson,Blue,WomenBantamweight,5,6,4,1,4,Orthodox,180.34,182.88,29,1,2,1,Orthodox,167.64,172.72,43,1,2,2,Mark Smith,44275,"Las Vegas, Nevada, USA",FALSE,0.125,0.535625,0.185,170.4375,105.625,5.375,1.5,0,0.4030761719,0.51171875,137.1542969,70.19824219,2.26171875,1.26171875
Leonardo Santos,Grant Dawson,Blue,Lightweight,7,1,4,0,5,Switch,177.8,182.88,27,2,0,2,Orthodox,182.88,190.5,41,3,2,2,Chris Tognoni,44275,"Las Vegas, Nevada, USA",FALSE,0,0.515,0.435,150.625,93.5,6.375,2.625,0.3125,0.56515625,0.33703125,110.9140625,68.0625,1.40625,0.6328125
Song Kenan,Max Griffin,Blue,Welterweight,4,1,4,6,6,Orthodox,180.34,193.04,35,2,2,0,Orthodox,182.88,180.34,31,1,3,0,Keith Peterson,44275,"Las Vegas, Nevada, USA",FALSE,0.046875,0.4592773437,0.3221875,151.5546875,78.32421875,2.73046875,1.453125,0.625,0.493125,0,77.5625,36.5625,0,0
Derek Brunson,Kevin Holland,Red,Middleweight,12,5,8,2,7,Orthodox,190.5,205.74,28,3,3,2,Southpaw,185.42,195.58,37,4,7,1,Herb Dean,44275,"Las Vegas, Nevada, USA",FALSE,0.15625,0.7915820312,0.2691992188,61.64453125,47.79101563,0.935546875,0.529296875,0.0245513916,0.5156361389,0.3558242798,150.5239868,88.71699524,8.111679077,3.008209229
Montel Jackson,Jesse Strader,Red,Bantamweight,3,2,0,0,8,Orthodox,170.18,177.8,29,0,0,0,Southpaw,177.8,190.5,28,2,0,1,Keith Peterson,44275,"Las Vegas, Nevada, USA",FALSE,,,,,,,,0.75,0.615,0.66875,117.625,88.4375,5.875,4.25
Bruno Silva,JP Buys,Red,Flyweight,0,3,0,0,9,Orthodox,165.1,170.18,24,0,0,0,,182.88,,31,0,0,0,Mark Smith,44275,"Las Vegas, Nevada, USA",FALSE,,,,,,,,0,0.42,0.3625,117,57.25,9.5,3.25
Manel Kape,Matheus Nicolau,Blue,Flyweight,0,1,3,1,10,Orthodox,167.64,167.64,28,2,0,1,Southpaw,165.1,172.72,27,0,0,0,,44268,"Las Vegas, Nevada, USA",FALSE,1,0.47375,0.28125,84.25,47,1.625,1.125,0,0.53,0.28,94,51,7,2
Misha Cirkunov,Ryan Spann,Blue,LightHeavyweight,6,3,4,1,11,Orthodox,195.58,200.66,29,2,1,1,Orthodox,190.5,195.58,34,0,1,5,Mark Smith,44268,"Las Vegas, Nevada, USA",FALSE,1.0625,0.473125,0.60125,51.3125,24.0625,3,1.5625,0,0.5615625,0.3927734375,29.39453125,22.2265625,1.234375,0.6875
Leon Edwards,Belal Muhammad,Draw,Welterweight,10,2,9,3,12,Orthodox,180.34,182.88,32,7,1,1,Southpaw,187.96,187.96,29,7,2,1,Herb Dean,44268,"Las Vegas, Nevada, USA",FALSE,0,0.4657324219,0.1764648438,229.9946289,112.0332031,8.8828125,1.451660156,0.3139648438,0.4885253906,0.370703125,175.7543945,88.94873047,6.84375,2.234375
Charles Jourdain,Marcelo Rojo,Red,Featherweight,1,3,0,0,13,Orthodox,172.72,180.34,32,0,0,0,Switch,175.26,175.26,25,0,1,0,Mark Smith,44268,"Las Vegas, Nevada, USA",FALSE,,,,,,,,0.5,0.4325,0,134.25,66.5,0,0
Eryk Anders,Darren Stewart,Draw,Middleweight,5,5,5,6,14,Orthodox,182.88,187.96,30,2,2,1,Southpaw,185.42,190.5,33,2,3,0,Herb Dean,44268,"Las Vegas, Nevada, USA",FALSE,0.0234375,0.4514453125,0.3235742188,116.8271484,66.49609375,4.500976563,1.673828125,0.173828125,0.4332226563,0.0123828125,123.90625,58.69335938,2.8125,0.111328125
Angela Hill,Ashley Yoder,Red,WomenStrawweight,7,9,3,5,15,Southpaw,170.18,175.26,33,3,0,0,Orthodox,160.02,162.56,36,5,1,0,Mike Beltran,44268,"Las Vegas, Nevada, USA",FALSE,0.015625,0.496640625,0.3271875,175.0234375,121.1953125,3.4375,1.375,0.2501525879,0.4833660889,0.1015917969,225.5984192,115.5010376,0.6369934082,0.2062988281
Jonathan Martinez,Davey Grant,Blue,Bantamweight,4,2,3,3,16,Orthodox,172.72,175.26,35,2,1,0,Southpaw,172.72,177.8,26,2,2,0,Chris Tognoni,44268,"Las Vegas, Nevada, USA",FALSE,0.5,0.464375,0.48375,125.78125,59.34375,4.625,2.65625,0.8125,0.4340625,0.28125,171.625,74.46875,0.75,0.3125
Dan Ige,Gavin Tucker,Red,Featherweight,6,2,4,1,17,Southpaw,167.64,167.64,34,2,0,2,Orthodox,170.18,180.34,29,4,1,1,Mike Beltran,44268,"Las Vegas, Nevada, USA",FALSE,0,0.529375,0.5,171.1875,96.0625,8.9375,4.4375,0.09375,0.44078125,0.186796875,185.4375,84.4140625,6.25,0.53125
Nasrat Haqparast,Rafa Garcia,Red,Lightweight,4,2,0,0,18,Orthodox,170.18,177.8,26,0,0,0,Southpaw,177.8,182.88,25,3,1,0,Chris Tognoni,44268,"Las Vegas, Nevada, USA",FALSE,,,,,,,,0.25,0.521875,0.03125,144.0625,72.15625,0.15625,0.03125
Cortney Casey,JJ Aldrich,Blue,WomenFlyweight,5,7,4,3,19,Southpaw,165.1,170.18,28,4,0,0,Orthodox,170.18,170.18,33,2,1,2,Mark Smith,44268,"Las Vegas, Nevada, USA",FALSE,0,0.4046875,0.13125,147.46875,65.984375,0.71875,0.28125,0,0.4207666016,0.0109765625,137.0878906,82.57617188,0.412109375,0.064453125
Matthew Semelsberger,Jason Witt,Red,Welterweight,1,0,1,1,20,Orthodox,177.8,177.8,34,0,0,1,Switch,185.42,190.5,28,1,0,0,Chris Tognoni,44268,"Las Vegas, Nevada, USA",FALSE,0,0.52,0.33,37.5,26,2,1,1,0.5,1,237,122,2,2
Rani Yahya,Ray Rodriguez,Red,Bantamweight,11,6,0,1,21,Orthodox,170.18,177.8,33,0,0,0,Orthodox,167.64,170.18,36,5,0,6,Herb Dean,44268,"Las Vegas, Nevada, USA",FALSE,0,0.2,1,5,1,1,1,0,0.4786643982,0.2665873718,105.4945374,51.18893433,5.561706543,1.250137329
Gloria de Paula,Jinh Yu Frey,Blue,WomenStrawweight,0,0,0,2,22,Southpaw,160.02,165.1,35,0,0,0,Orthodox,165.1,170.18,25,0,0,0,Mike Beltran,44268,"Las Vegas, Nevada, USA",FALSE,0,0.49,0.125,61.5,33,2,0.5,,,,,,,
Dominick Cruz,Casey Kenney,Red,Bantamweight,5,2,5,1,23,Southpaw,170.18,172.72,29,4,0,1,Orthodox,172.72,172.72,35,4,1,0,Jason Herzog,44261,"Las Vegas, Nevada, USA",FALSE,0,0.4859375,0.216875,209.03125,99.875,3.40625,1.125,0.125,0.37609375,0.1190625,177.34375,64.859375,5.875,0.90625
Song Yadong,Kyler Phillips,Blue,Bantamweight,5,1,2,0,24,Orthodox,172.72,182.88,25,1,1,0,Orthodox,172.72,170.18,23,2,2,1,Mark Smith,44261,"Las Vegas, Nevada, USA",FALSE,0,0.465,0.75,137.5,73,3,2,0.1875,0.41875,0.09375,161.84375,81.15625,0.65625,0.15625
Petr Yan,Aljamain Sterling,Blue,Bantamweight,7,0,11,3,25,Orthodox,170.18,180.34,31,6,1,4,Switch,170.18,170.18,28,3,4,0,Mark Smith,44261,"Las Vegas, Nevada, USA",TRUE,0,0.5821240234,0.03421875,134.40979,74.24584961,4.014526367,0.2379150391,1.53125,0.53953125,0.5896875,261.375,163.53125,2.328125,1.34375
Jan Blachowicz,Israel Adesanya,Red,LightHeavyweight,10,5,9,0,26,Switch,193.04,203.2,31,5,4,0,Orthodox,187.96,198.12,38,4,4,2,Herb Dean,44261,"Las Vegas, Nevada, USA",TRUE,1.05078125,0.5284765625,0,109.4609375,55.73046875,0.01953125,0,0.8251953125,0.4561218262,0.02280761719,85.80523682,41.70812988,0.1189575195,0.04309082031
Thiago Santos,Aleksandar Rakic,Blue,LightHeavyweight,13,7,5,1,27,Orthodox,193.04,198.12,29,3,2,0,Orthodox,187.96,193.04,37,2,11,0,Herb Dean,44261,"Las Vegas, Nevada, USA",FALSE,0.71875,0.621875,0.0509375,139.3125,105.125,2.4375,0.34375,0.7604007721,0.5053745842,0.1836968994,123.8535004,67.23523712,0.4580783844,0.2661437988
Joseph Benavidez,Askar Askarov,Blue,Flyweight,15,5,2,1,28,Orthodox,167.64,170.18,28,2,0,0,Southpaw,162.56,165.1,36,9,5,1,Jason Herzog,44261,"Las Vegas, Nevada, USA",FALSE,0,0.5625,0.155,98.75,59.25,12,2,0.187625885,0.544965229,0.05506113052,70.81346893,37.59082222,1.540719986,0.5049571991
Amanda Nunes,Megan Anderson,Red,WomenFeatherweight,13,1,3,2,29,Orthodox,182.88,182.88,31,0,2,1,Orthodox,172.72,175.26,32,4,7,2,Jason Herzog,44261,"Las Vegas, Nevada, USA",TRUE,0.5,0.498125,0.125,34.375,25.3125,1,0.25,0.2514648438,0.5198291016,0.6332312012,213.7929688,125.3968506,6.637939453,5.129516602
Islam Makhachev,Drew Dober,Red,Lightweight,7,1,9,6,30,Southpaw,172.72,177.8,32,3,5,1,Southpaw,177.8,177.8,29,4,1,2,Chris Tognoni,44261,"Las Vegas, Nevada, USA",FALSE,0.388671875,0.469420166,0.03159179688,101.3607178,46.98693848,0.1806030273,0.0673828125,0.5625,0.51875,0.2865625,96.8828125,61.9921875,3.1328125,1.3671875
Tim Elliott,Jordan Espinosa,Red,Flyweight,5,9,2,3,31,Orthodox,167.64,175.26,31,2,0,0,Southpaw,170.18,167.64,34,4,0,1,Mark Smith,44261,"Las Vegas, Nevada, USA",FALSE,0,0.418125,0.185625,153.0625,75.5,1.5,0.5625,0.0001220703125,0.4504724121,0.2336743164,137.4373779,71.16821289,10.76257324,2.086303711
Livinha Souza,Amanda Lemos,Blue,WomenStrawweight,3,1,2,1,32,Southpaw,162.56,165.1,33,1,0,1,Orthodox,160.02,160.02,29,2,0,1,Jason Herzog,44261,"Las Vegas, Nevada, USA",FALSE,0.5,0.645,1,106.5,72,1.5,1.5,0,0.5225,0.465,82.75,53.125,4.125,1.625
Rogerio Bontorin,Kai Kara-France,Blue,Flyweight,2,1,4,2,33,Orthodox,162.56,175.26,27,4,0,0,Orthodox,165.1,170.18,28,1,0,0,Herb Dean,44261,"Las Vegas, Nevada, USA",FALSE,0.59375,0.45875,0.07125,138.28125,53.34375,1.78125,0.125,0,0.485,0.1825,43.75,27,3,0.75
Uros Medic,Aalon Cruz,Red,Lightweight,0,0,0,1,34,Switch,182.88,198.12,31,0,0,0,Southpaw,185.42,180.34,27,0,0,0,Mark Smith,44261,"Las Vegas, Nevada, USA",FALSE,0,0.16,0,12,2,1,0,,,,,,,
Kennedy Nzechukwu,Carlos Ulberg,Red,LightHeavyweight,1,1,0,0,35,Orthodox,193.04,195.58,30,0,0,0,Southpaw,195.58,210.82,28,1,0,0,Herb Dean,44261,"Las Vegas, Nevada, USA",FALSE,,,,,,,,0,0.475,0,101.5,48.5,0,0
Sean Brady,Jake Matthews,Red,Welterweight,3,0,10,4,36,Orthodox,180.34,185.42,26,5,0,4,Orthodox,177.8,182.88,28,2,0,1,Chris Tognoni,44261,"Las Vegas, Nevada, USA",FALSE,0.78125,0.4622644043,0.4386694336,141.159668,76.14660645,3.261352539,1.606811523,0.25,0.5475,0.775,157.25,100.75,4,2.5
Mario Bautista,Trevin Jones,Blue,Bantamweight,2,1,0,1,37,Southpaw,170.18,177.8,30,0,0,0,Switch,175.26,175.26,27,1,1,0,Chris Tognoni,44261,"Las Vegas, Nevada, USA",FALSE,1,0.52,0.5,55,31,2,1,0.5,0.335,0.25,116.75,56.25,0.75,0.25
Jairzinho Rozenstruik,Ciryl Gane,Blue,Heavyweight,5,1,4,0,38,Orthodox,193.04,205.74,30,1,1,2,Orthodox,193.04,198.12,32,0,5,0,Herb Dean,44254,"Las Vegas, Nevada, USA",FALSE,0.625,0.61875,0.125,106.125,61.625,0.75,0.375,0.75,0.705,0,64.625,37.125,0,0
Montana De La Rosa,Mayra Bueno Silva,Draw,WomenFlyweight,4,2,2,1,39,Orthodox,167.64,167.64,29,0,0,2,Orthodox,170.18,172.72,26,1,0,3,Jerin Valel,44254,"Las Vegas, Nevada, USA",FALSE,0,0.375,0,49.75,27.5,0,0,0.25,0.37125,0.255,171.5,75.375,5.625,1.5
Vince Cachero,Ronnie Lawrence,Blue,Bantamweight,0,1,0,0,40,Switch,172.72,172.72,28,0,0,0,Orthodox,167.64,172.72,31,0,0,0,Jerin Valel,44254,"Las Vegas, Nevada, USA",FALSE,,,,,,,,0,0.5,0,201,121,2,0
Alexander Hernandez,Thiago Moises,Blue,Lightweight,4,2,3,2,41,Orthodox,175.26,177.8,25,2,0,1,Orthodox,175.26,182.88,28,2,2,0,Mark Smith,44254,"Las Vegas, Nevada, USA",FALSE,0,0.3,0.37125,90.25,34.8125,3.125,1.25,0.53125,0.4490625,0.1625,77.84375,34.34375,1.8125,0.875
Pedro Munhoz,Jimmie Rivera,Red,Bantamweight,8,6,7,3,42,Orthodox,162.56,172.72,31,6,1,0,Orthodox,167.64,165.1,34,2,3,3,Herb Dean,44254,"Las Vegas, Nevada, USA",FALSE,0.033203125,0.438515625,0.337109375,140.6835938,74.50976563,2.560546875,1.04296875,0.28125,0.463828125,0.01740722656,265.6551514,122.5629883,0.3260498047,0.02856445313
Alex Caceres,Kevin Croom,Red,Featherweight,12,11,0,1,43,Orthodox,180.34,185.42,33,0,0,0,Southpaw,177.8,185.42,32,8,0,3,Chris Tognoni,44254,"Las Vegas, Nevada, USA",FALSE,1,0.83,0,6,5,0,0,0.2588195801,0.550848465,0.2531222916,92.31362724,52.65331125,0.2895822525,0.25735569
Alexis Davis,Sabina Mazo,Red,WomenBantamweight,6,5,3,1,44,Orthodox,170.18,177.8,23,2,0,1,Orthodox,167.64,172.72,36,5,0,1,Chris Tognoni,44254,"Las Vegas, Nevada, USA",FALSE,0.5,0.45875,0.125,270.125,126.125,0.5,0.5,0,0.4872753906,0.21296875,196.0029297,116.8417969,2.970703125,0.4501953125
Nikita Krylov,Magomed Ankalaev,Blue,LightHeavyweight,8,5,5,1,45,Orthodox,190.5,190.5,28,1,4,0,Orthodox,190.5,195.58,28,1,3,4,Mark Smith,44254,"Las Vegas, Nevada, USA",FALSE,1.21875,0.5615625,0.061875,50.4375,31.15625,0.5625,0.1875,0.01782226563,0.6305078125,0.450625,121.9226074,94.38256836,5.394775391,2.21875
Dustin Jacoby,Maxim Grishin,Red,LightHeavyweight,1,2,1,1,46,Orthodox,190.5,198.12,36,0,1,0,Orthodox,190.5,193.04,32,0,1,0,Chris Tognoni,44254,"Las Vegas, Nevada, USA",FALSE,0,0.5,0.5,98.5,60,0.5,0.5,1,0.405,0,73,27.5,0,0
Aleksei Oleinik,Chris Daukaus,Blue,Heavyweight,8,5,2,0,47,Orthodox,190.5,193.04,31,0,2,0,Orthodox,187.96,203.2,43,1,1,6,Herb Dean,44247,"Las Vegas, Nevada, USA",FALSE,2,0.615,0,44,29,0,0,0.002197265625,0.3824462891,0.6299291992,74.08911133,44.97045898,0.9887695313,0.8986816406
Charles Rosa,Darrick Minner,Blue,Featherweight,4,4,1,1,48,Orthodox,170.18,175.26,30,0,0,1,Switch,175.26,175.26,34,2,0,2,Mark Smith,44247,"Las Vegas, Nevada, USA",FALSE,0,0.725,0.5,24.5,22,0.5,0.5,0,0.45828125,0.02671875,119.25,48.40625,1.5,0.2265625
Phil Hawes,Nassourdine Imavov,Red,Middleweight,1,0,1,0,49,Orthodox,190.5,190.5,25,1,0,0,Orthodox,182.88,195.58,32,0,1,0,Chris Tognoni,44247,"Las Vegas, Nevada, USA",FALSE,0,0.61,0.12,126,81,8,1,1,0.63,0,11,7,0,0
Curtis Blaydes,Derrick Lewis,Blue,Heavyweight,9,3,15,5,50,Orthodox,190.5,200.66,36,4,11,0,Orthodox,193.04,203.2,30,4,4,0,Herb Dean,44247,"Las Vegas, Nevada, USA",FALSE,0.5245361328,0.6138958359,0.543428154,48.25727463,29.92731285,1.187185287,0.6294593811,0.00390625,0.5959716797,0.4708007813,115.9052734,78.00195313,15.60351563,8.229980469
Eddie Wineland,John Castaneda,Blue,Bantamweight,6,8,0,1,51,Switch,167.64,180.34,29,0,0,0,Orthodox,170.18,175.26,36,1,5,0,Jason Herzog,44247,"Las Vegas, Nevada, USA",FALSE,0,0.42,0,141,66,1,0,0.5808105469,0.4519433594,0.0002844238281,83.13220215,29.57250977,0.5270996094,0.0003662109375
Andrei Arlovski,Tom Aspinall,Blue,Heavyweight,19,14,2,0,52,Orthodox,195.58,198.12,27,0,2,0,Orthodox,190.5,195.58,42,8,9,2,Mark Smith,44247,"Las Vegas, Nevada, USA",FALSE,0.5,0.82,0.5,18,13.5,0.5,0.5,1.20E-05,0.4369945413,0.006077614063,94.62690949,44.00914779,0.06665337132,0.02356052422
Jared Gordon,Danny Chavez,Red,Featherweight,4,3,1,0,53,Orthodox,172.72,170.18,33,1,0,0,Orthodox,175.26,172.72,32,3,1,0,Herb Dean,44247,"Las Vegas, Nevada, USA",FALSE,0,0.44,1,113,52,4,4,0,0.55265625,0.3290625,194.828125,157.53125,4.484375,2.03125
Ketlen Vieira,Yana Kunitskaya,Blue,WomenBantamweight,5,1,3,2,54,Orthodox,167.64,172.72,31,3,0,0,Orthodox,172.72,172.72,29,4,0,1,Jason Herzog,44247,"Las Vegas, Nevada, USA",FALSE,0,0.641875,0.429375,203.625,152.625,1.875,1,0,0.3975,0.414375,152.4375,70.5625,3.15625,1.46875
Aiemann Zahabi,Drako Rodriguez,Red,Bantamweight,1,2,0,0,55,Orthodox,172.72,175.26,24,0,0,0,Orthodox,172.72,172.72,33,1,0,0,Mark Smith,44247,"Las Vegas, Nevada, USA",FALSE,,,,,,,,0.25,0.375,0.1,96.25,37.5,2.75,0.5
Serghei Spivac,Jared Vanderaa,Red,Heavyweight,2,2,0,0,56,Orthodox,193.04,203.2,28,0,0,0,Orthodox,190.5,198.12,26,1,0,1,Chris Tognoni,44247,"Las Vegas, Nevada, USA",FALSE,,,,,,,,0,0.42625,0.30375,159.625,97.625,4.75,2.25
Nate Landwehr,Julian Erosa,Blue,Featherweight,1,1,2,4,57,Southpaw,185.42,187.96,31,1,0,1,Orthodox,175.26,182.88,32,1,0,0,Mark Smith,44247,"Las Vegas, Nevada, USA",FALSE,0,0.450625,0.301875,166.65625,78.09375,3.125,1.59375,0,0.47,0,124,63.5,0,0
Shana Dobson,Casey O'Neill,Blue,WomenFlyweight,2,3,0,0,58,,167.64,175.26,23,0,0,0,Orthodox,167.64,175.26,31,0,2,0,Chris Tognoni,44247,"Las Vegas, Nevada, USA",FALSE,,,,,,,,0.0625,0.52625,0.515625,73.625,41.375,1.25,1.0625
Maycee Barber,Alexa Grasso,Blue,WomenFlyweight,3,1,4,3,59,Orthodox,165.1,167.64,27,4,0,0,Switch,165.1,165.1,22,0,3,0,Keith Peterson,44240,"Las Vegas, Nevada, USA",FALSE,0,0.4703125,0.2578125,215.171875,115.96875,1.28125,0.515625,0,0.53,0.025,68.75,39.625,0.625,0.125
Belal Muhammad,Dhiego Lima,Red,Welterweight,8,3,4,5,60,Orthodox,187.96,190.5,32,3,1,0,Orthodox,180.34,182.88,32,6,1,1,Herb Dean,44240,"Las Vegas, Nevada, USA",FALSE,0.15625,0.3463671875,0.1679296875,108.7382813,43.74609375,3.7890625,1.0234375,0,0.4514648438,0.2529296875,175.9892578,88.06640625,7.765625,1.903320313
Maki Pitolo,Julian Marquez,Blue,Middleweight,1,3,1,1,61,Orthodox,187.96,182.88,30,0,0,1,Orthodox,177.8,190.5,30,0,1,0,Mark Smith,44240,"Las Vegas, Nevada, USA",FALSE,0,0.405,0,109,43,2,0,0,0.40875,0.375,128.125,56.5,0.875,0.625
Kamaru Usman,Gilbert Burns,Red,Welterweight,12,0,12,3,62,Orthodox,177.8,180.34,34,5,3,4,Switch,182.88,193.04,33,9,2,1,Herb Dean,44240,"Las Vegas, Nevada, USA",TRUE,0.271484375,0.6153271484,0.2204443359,136.4866333,96.01416016,5.139709473,1.467224121,0.54296875,0.5843505859,0.2471435547,341.6816406,237.2807617,10.22607422,3.645507813
Ricky Simon,Brian Kelleher,Red,Featherweight,5,2,6,4,63,Switch,167.64,167.64,34,1,2,3,Orthodox,167.64,175.26,28,3,1,1,Keith Peterson,44240,"Las Vegas, Nevada, USA",FALSE,0.12890625,0.3490234375,0.1227539063,68.06445313,24.96484375,1.541015625,0.341796875,0.0625,0.4834375,0.58859375,105.171875,59.96875,10.328125,6.265625
Kelvin Gastelum,Ian Heinisch,Red,Middleweight,10,7,3,2,64,Orthodox,180.34,182.88,32,2,1,0,Southpaw,175.26,180.34,29,5,3,2,Mark Smith,44240,"Las Vegas, Nevada, USA",FALSE,0.5625,0.649375,0.14625,78,47.1875,4,0.875,0.1308746338,0.2288749695,0.5772302246,66.84651184,29.83604431,2.631286621,0.8776550293
Polyana Viana,Mallory Martin,Red,WomenStrawweight,2,3,1,1,65,Orthodox,162.56,160.02,27,0,0,1,Orthodox,165.1,170.18,28,0,0,2,Mark Smith,44240,"Las Vegas, Nevada, USA",FALSE,0,0.435,0.25,52.5,32.5,1,0.5,0,0.500625,0.29375,55.375,31.8125,1.1875,0.375
Rodolfo Vieira,Anthony Hernandez,Blue,Middleweight,2,0,1,2,66,Orthodox,182.88,190.5,27,0,0,1,Orthodox,182.88,185.42,31,0,0,2,Keith Peterson,44240,"Las Vegas, Nevada, USA",FALSE,0,0.2525,0.165,43.5,23.75,2.25,1.5,0,0.48,0.71,38.5,23.5,4.5,2.5
Gabe Green,Philip Rowe,Red,Welterweight,0,1,0,0,67,Orthodox,190.5,203.2,30,0,0,0,Switch,177.8,185.42,27,0,0,0,Mark Smith,44240,"Las Vegas, Nevada, USA",FALSE,,,,,,,,0,0.46,0,273,127,0,0
Andre Ewell,Chris Gutierrez,Blue,CatchWeight,4,2,3,2,68,Orthodox,175.26,170.18,29,2,1,0,Southpaw,172.72,190.5,33,4,0,0,Chris Tognoni,44240,"Las Vegas, Nevada, USA",FALSE,0.5,0.593125,0.5625,103.8125,64,0.8125,0.625,0.03125,0.4125,0.03125,231.8125,98.59375,0.15625,0.03125
Alexandre Pantoja,Manel Kape,Red,Flyweight,6,3,0,0,69,Southpaw,165.1,172.72,27,0,0,0,Orthodox,165.1,170.18,30,2,2,2,Keith Peterson,44233,"Las Vegas, Nevada, USA",FALSE,,,,,,,,0.31640625,0.5147265625,0.5380078125,79.0625,42,2.5546875,1.015625
Karol Rosa,Joselyne Edwards,Red,WomenBantamweight,2,0,1,0,70,Orthodox,172.72,177.8,25,1,0,0,Orthodox,165.1,170.18,26,2,0,0,Mark Smith,44233,"Las Vegas, Nevada, USA",FALSE,0,0.49,0,206,111,3,0,0.5,0.5,0.25,323.5,177,2,1
Devonte Smith,Justin Jaynes,Red,CatchWeight,2,1,1,2,71,Orthodox,170.18,172.72,31,0,1,0,Orthodox,175.26,193.04,27,0,2,0,Keith Peterson,44233,"Las Vegas, Nevada, USA",FALSE,0.5,0.4425,0,59.25,25.5,0.25,0,0.5,0.555,0,29,15.5,0,0
Michael Johnson,Clay Guida,Blue,Lightweight,11,12,15,14,72,Orthodox,170.18,177.8,39,9,2,4,Southpaw,177.8,185.42,34,7,4,0,Mark Smith,44233,"Las Vegas, Nevada, USA",FALSE,0.03955084085,0.3756168338,0.196596931,74.35290984,32.47696755,6.519973859,1.67388111,0.002096652985,0.4184706783,0.06636105537,112.1593521,47.45066857,0.1814627647,0.07171750069
Alistair Overeem,Alexander Volkov,Blue,Heavyweight,12,7,6,2,73,Orthodox,200.66,203.2,32,3,3,0,Orthodox,193.04,203.2,40,3,9,0,Jason Herzog,44233,"Las Vegas, Nevada, USA",FALSE,0.046875,0.55296875,0.20703125,122.359375,80.25,0.734375,0.4140625,0.3161964417,0.7840547943,0.7911476135,115.1883621,93.28151321,3.135906219,2.031803131
Diego Ferreira,Beneil Dariush,Blue,Lightweight,8,2,13,5,74,Southpaw,177.8,182.88,31,5,3,5,Orthodox,175.26,187.96,36,3,3,2,Chris Tognoni,44233,"Las Vegas, Nevada, USA",FALSE,0.7597732544,0.5883159637,0.2483944702,53.1008606,31.30599213,2.586479187,0.7509155273,0.033203125,0.4135351563,0.243203125,169.2441406,68.078125,4.349609375,1.626953125
Cory Sandhagen,Frankie Edgar,Red,Bantamweight,6,1,18,9,75,Orthodox,167.64,172.72,39,11,4,2,Switch,180.34,177.8,28,2,3,1,Keith Peterson,44233,"Las Vegas, Nevada, USA",FALSE,0.001991271973,0.4447192064,0.1413426961,233.4293257,88.81364132,7.129005954,1.189244211,0.546875,0.4603125,0.0625,86.0625,40.84375,0.453125,0.171875
Mike Rodriguez,Danilo Marques,Blue,LightHeavyweight,2,4,1,0,76,Orthodox,198.12,195.58,35,1,0,0,Southpaw,193.04,208.28,32,0,2,0,Jason Herzog,44233,"Las Vegas, Nevada, USA",FALSE,0,0.72,0.25,26,19,16,4,1.3125,0.6890625,0,98.25,72.125,0.5,0
Ode Osbourne,Jerome Rivera,Red,Featherweight,0,1,0,2,77,Southpaw,177.8,182.88,25,0,0,0,Southpaw,170.18,185.42,29,0,0,0,Chris Tognoni,44233,"Las Vegas, Nevada, USA",FALSE,0,0.3,0,140,58,2.5,0,0,0.64,0,25,19,0,0
SeungWoo Choi,Youssef Zalal,Red,Featherweight,1,2,3,1,78,Switch,177.8,182.88,24,3,0,0,Orthodox,182.88,187.96,28,1,0,0,Chris Tognoni,44233,"Las Vegas, Nevada, USA",FALSE,0.25,0.44,0.2125,100.125,55.375,4,1.5,0.5,0.4175,0.25,190,113,1,0.5
