R_fighter,B_fighter,Winner,weight_class,R_wins,R_losses,B_wins,B_losses,fight_number
Nicolas Dalby,Jesse Ronson,Draw,Welterweight,2,3,0,3,349
Tanner Boser,Raphael Pessoa,Red,Heavyweight,2,1,1,1,350
Movsar Evloev,Mike Grundy,Red,Featherweight,2,0,1,0,351
Ramazan Emeev,Niklas Stolze,Red,Welterweight,3,1,0,0,352
Bethe Correia,Pannie Kianzad,Blue,WomenBantamweight,5,5,1,2,353
Nathaniel Wood,John Castaneda,Red,Bantamweight,3,1,0,0,354
Joe Duffy,Joel Alvarez,Blue,Lightweight,4,3,1,1,355
Jack Hermansson,Kelvin Gastelum,Red,Middleweight,7,3,10,6,356
Marc Diakiese,Rafael Fiziev,Blue,Lightweight,5,3,1,1,357
Alexandre Pantoja,Askar Askarov,Blue,Flyweight,6,2,1,1,358
Grant Dawson,Nad Narimani,Red,CatchWeight,3,0,2,1,359
Deiveson Figueiredo,Joseph Benavidez,Red,Flyweight,7,1,15,4,360
Roman Dolidze,Khadis Ibragimov,Red,LightHeavyweight,0,0,0,2,361
Ariane Lipski,Luana Carolina,Red,WomenFlyweight,1,2,1,0,362
Malcolm Gordon,Amir Albazi,Blue,Bantamweight,0,0,0,0,363
Brett Johns,Montel Jackson,Red,Bantamweight,4,2,3,1,364
Carlos Felipe,Serghei Spivac,Blue,Heavyweight,0,0,1,2,365
Davi Ramos,Arman Tsarukyan,Blue,Lightweight,4,2,1,1,366
Modestas Bukauskas,Andreas Michailidis,Red,LightHeavyweight,0,0,0,0,367
Molly McCann,Taila Santos,Blue,WomenFlyweight,3,1,0,1,368
John Phillips,Khamzat Chimaev,Blue,Middleweight,1,3,0,0,369
Ricardo Ramos,Lerone Murphy,Blue,Featherweight,5,1,0,1,370
Jimmie Rivera,Cody Stamann,Red,Featherweight,6,3,5,2,371
Calvin Kattar,Dan Ige,Red,Featherweight,5,2,6,1,372
Abdul Razak Alhassan,Mounir Lazzez,Blue,Welterweight,4,1,0,0,373
Tim Elliott,Ryan Benoit,Red,Flyweight,4,9,3,4,374
Diana Belbita,Liana Jojua,Blue,WomenFlyweight,0,1,0,1,375
Jack Shore,Aaron Phillips,Red,Bantamweight,1,0,0,2,376
Jared Gordon,Chris Fishgold,Red,Featherweight,3,3,1,2,377
Jessica Andrade,Rose Namajunas,Blue,WomenStrawweight,11,5,6,3,378
Makwan Amirkhani,Danny Henry,Red,Featherweight,5,2,2,1,379
Volkan Oezdemir,Jiri Prochazka,Blue,LightHeavyweight,5,3,0,0,380
Elizeu Zaleski dos Santos,Muslim Salikhov,Blue,Welterweight,8,2,3,1,381
Petr Yan,Jose Aldo,Red,Bantamweight,6,0,10,5,382
Alexander Volkanovski,Max Holloway,Red,Featherweight,8,0,17,5,383
Kamaru Usman,Jorge Masvidal,Red,Welterweight,11,0,12,6,384
Amanda Ribas,Paige VanZant,Red,WomenFlyweight,3,0,5,3,385
Leonardo Santos,Roman Bogatov,Red,Lightweight,6,1,0,0,386
Karol Rosa,Vanessa Melo,Red,WomenBantamweight,1,0,0,2,387
Marcin Tybura,Maxim Grishin,Red,Heavyweight,5,5,0,0,388
Raulian Paiva,Zhalgas Zhumagulov,Red,Flyweight,1,2,0,0,389
Martin Day,Davey Grant,Blue,Bantamweight,0,1,2,3,390
Luis Pena,Khama Worthy,Blue,Lightweight,4,2,1,0,391
Philipe Lins,Tanner Boser,Blue,Heavyweight,0,1,1,1,392
Gian Villante,Maurice Greene,Blue,Heavyweight,7,8,3,2,393
Sean Woodson,Julian Erosa,Blue,CatchWeight,1,0,1,4,394
Mike Perry,Mickey Gall,Red,Welterweight,6,6,5,2,395
Dustin Poirier,Dan Hooker,Red,Lightweight,17,6,10,4,396
Brendan Allen,Kyle Daukaus,Red,Middleweight,2,0,0,0,397
Takashi Sato,Jason Witt,Red,Welterweight,1,1,0,0,398
Jordan Griffin,Youssef Zalal,Blue,Featherweight,1,2,1,0,399
Kay Hansen,Jinh Yu Frey,Red,WomenStrawweight,0,0,0,0,400
Jim Miller,Roosevelt Roberts,Red,CatchWeight,20,14,4,1,401
Marc-Andre Barriault,Oskar Piechota,Draw,Middleweight,0,3,2,3,402
Clay Guida,Bobby Green,Blue,Lightweight,15,13,5,6,403
Belal Muhammad,Lyman Good,Red,Welterweight,7,3,3,2,404
Curtis Blaydes,Alexander Volkov,Red,Heavyweight,8,3,5,1,405
Josh Emmett,Shane Burgos,Red,Featherweight,6,2,6,1,406
Tecia Torres,Brianna Van Buren,Red,WomenStrawweight,6,5,1,0,407
Raquel Pennington,Marion Reneau,Red,WomenBantamweight,7,5,5,5,408
Cortney Casey,Gillian Robertson,Blue,WomenFlyweight,5,6,4,2,409
Frank Camacho,Justin Jaynes,Blue,Lightweight,2,4,0,0,410
Roxanne Modafferi,Lauren Murphy,Blue,WomenFlyweight,3,4,4,4,411
Austin Hubbard,Max Rohskopf,Red,Lightweight,1,2,0,0,412
Mariya Agapova,Hannah Cifers,Red,WomenFlyweight,0,0,2,3,413
Andre Fili,Charles Jourdain,Red,Featherweight,8,6,1,1,414
Merab Dvalishvili,Gustavo Lopez,Red,CatchWeight,3,2,0,0,415
Jordan Espinosa,Mark De La Rosa,Red,Bantamweight,1,2,2,4,416
Karl Roberson,Marvin Vettori,Blue,Middleweight,4,2,4,3,417
Charles Rosa,Kevin Aguilar,Red,Lightweight,3,4,2,2,418
Jessica Eye,Cynthia Calvillo,Blue,WomenFlyweight,5,7,5,2,419
Julia Avila,Gina Mazany,Red,WomenBantamweight,1,0,1,3,420
Anthony Ivy,Christian Aguilera,Blue,Welterweight,0,0,0,0,421
Tyson Nam,Zarrukh Adashev,Red,Bantamweight,0,2,0,0,422
Cody Stamann,Brian Kelleher,Red,Featherweight,4,2,5,3,423
Eddie Wineland,Sean O'Malley,Blue,Bantamweight,6,7,3,0,424
Alex Caceres,Chase Hooper,Red,Featherweight,10,11,1,0,425
Raphael Assuncao,Cody Garbrandt,Blue,Bantamweight,11,4,6,3,426
Amanda Nunes,Felicia Spencer,Red,WomenFeatherweight,12,1,2,1,427
Aljamain Sterling,Cory Sandhagen,Red,Bantamweight,10,3,5,0,428
Neil Magny,Anthony Rocco Martin,Red,Welterweight,15,6,9,5,429
Ian Heinisch,Gerald Meerschaert,Red,Middleweight,2,2,6,4,430
Charles Byrd,Maki Pitolo,Blue,Middleweight,1,2,0,1,431
Evan Dunham,Herbert Burns,Blue,CatchWeight,11,9,1,0,432
Alonzo Menifield,Devin Clark,Blue,LightHeavyweight,2,0,5,4,433
Jussier Formiga,Alex Perez,Blue,Flyweight,9,6,5,1,434
Blagoy Ivanov,Augusto Sakai,Blue,Heavyweight,2,2,3,0,435
Jamahal Hill,Klidson Abreu,Draw,LightHeavyweight,1,0,1,2,436
Mackenzie Dern,Hannah Cifers,Red,WomenStrawweight,2,1,2,2,437
Daniel Rodriguez,Gabe Green,Red,Welterweight,1,0,0,0,438
Katlyn Chookagian,Antonina Shevchenko,Red,WomenFlyweight,6,3,2,1,439
Tyron Woodley,Gilbert Burns,Blue,Welterweight,9,4,11,3,440
Roosevelt Roberts,Brok Weaver,Red,Lightweight,3,1,1,0,441
Billy Quarantillo,Spike Carlyle,Red,CatchWeight,1,0,1,0,442
Tim Elliott,Brandon Royval,Blue,Flyweight,4,8,0,0,443
Louis Smolka,Casey Kenney,Blue,Bantamweight,7,6,2,1,444
Chris Gutierrez,Vince Morales,Red,Featherweight,2,1,1,2,445
Dan Ige,Edson Barboza,Red,Featherweight,5,1,14,8,446
Claudia Gadelha,Angela Hill,Red,WomenStrawweight,6,4,7,7,447
Anthony Hernandez,Kevin Holland,Blue,Middleweight,1,1,3,2,448
Giga Chikadze,Irwin Rivera,Red,Featherweight,2,0,0,0,449
Eryk Anders,Krzysztof Jotko,Blue,Middleweight,5,4,8,4,450
Matt Brown,Miguel Baeza,Blue,Welterweight,15,10,1,0,451
Alistair Overeem,Walt Harris,Red,Heavyweight,10,7,6,7,452
Song Yadong,Marlon Vera,Red,Featherweight,4,1,9,4,453
Cortney Casey,Mara Romero Borella,Red,WomenFlyweight,4,6,2,3,454
Darren Elkins,Nate Landwehr,Blue,Featherweight,14,7,0,1,455
Rodrigo Nascimento,Don'Tale Mayes,Red,Heavyweight,0,0,0,1,456
Ricky Simon,Ray Borg,Red,Bantamweight,3,2,7,4,457
Ben Rothwell,Ovince Saint Preux,Red,Heavyweight,7,6,12,8,458
Gabriel Benitez,Omar Morales,Blue,Lightweight,5,3,1,0,459
Anthony Smith,Glover Teixeira,Blue,LightHeavyweight,8,4,13,5,460
Andrei Arlovski,Philipe Lins,Red,Heavyweight,17,14,0,0,461
Michael Johnson,Thiago Moises,Blue,Lightweight,11,11,1,2,462
Alexander Hernandez,Drew Dober,Blue,Lightweight,3,1,8,6,463
Sijara Eubanks,Sarah Moras,Red,WomenBantamweight,2,2,3,4,464
Hunter Azure,Brian Kelleher,Blue,Featherweight,1,0,4,3,465
Chase Sherman,Ike Villanueva,Red,Heavyweight,2,5,0,0,466
Carla Esparza,Michelle Waterson,Red,WomenStrawweight,6,4,5,3,467
Anthony Pettis,Donald Cerrone,Red,Welterweight,9,9,23,11,468
Aleksei Oleinik,Fabricio Werdum,Red,Heavyweight,7,4,11,5,469
Jeremy Stephens,Calvin Kattar,Blue,Featherweight,15,17,4,2,470
Tony Ferguson,Justin Gaethje,Blue,Lightweight,15,1,4,2,471
Francis Ngannou,Jairzinho Rozenstruik,Red,Heavyweight,9,2,4,0,472
Henry Cejudo,Dominick Cruz,Red,Bantamweight,9,2,5,1,473
Vicente Luque,Niko Price,Red,Welterweight,10,3,6,4,474
Greg Hardy,Yorgan De Castro,Red,Heavyweight,2,3,1,0,475
Ryan Spann,Sam Alvey,Red,LightHeavyweight,3,0,10,8,476
Bryce Mitchell,Charles Rosa,Red,Featherweight,3,0,3,3,477
Amanda Ribas,Randa Markos,Red,WomenStrawweight,2,0,6,7,478
Jussier Formiga,Brandon Moreno,Blue,Flyweight,9,5,4,3,479
Renato Moicano,Damir Hadzovic,Red,Lightweight,5,3,3,3,480
Elizeu Zaleski dos Santos,Aleksei Kunchenko,Red,Welterweight,7,2,2,1,481
Johnny Walker,Nikita Krylov,Blue,LightHeavyweight,3,1,7,5,482
Demian Maia,Gilbert Burns,Blue,Welterweight,22,9,10,3,483
Kevin Lee,Charles Oliveira,Blue,Lightweight,11,5,16,9,484
Francisco Trinaldo,John Makdessi,Red,Lightweight,14,6,10,6,485
Rani Yahya,Enrique Barzola,Draw,Bantamweight,11,5,6,3,486
Mayra Bueno Silva,Maryna Moroz,Blue,WomenFlyweight,1,0,4,3,487
Bruno Silva,David Dvorak,Blue,Flyweight,0,1,0,0,488
Veronica Macedo,Bea Malecki,Blue,WomenBantamweight,1,3,1,0,489
Beneil Dariush,Drakkar Klose,Red,Lightweight,11,5,5,1,490
Neil Magny,Li Jingliang,Red,Welterweight,14,6,9,3,491
Sean O'Malley,Jose Quinonez,Red,Bantamweight,2,0,5,2,492
Israel Adesanya,Yoel Romero,Red,Middleweight,7,0,9,3,493
Zhang Weili,Joanna Jedrzejczyk,Red,WomenStrawweight,4,0,10,3,494
Rodolfo Vieira,Saparbeg Safarov,Red,Middleweight,1,0,1,2,495
Mark Madsen,Austin Hubbard,Red,Lightweight,1,0,1,1,496
Giga Chikadze,Jamall Emmers,Red,Featherweight,1,0,0,0,497
Batgerel Danaa,Guido Cannetti,Red,Bantamweight,0,1,2,3,498
Gerald Meerschaert,Deron Winn,Red,Middleweight,5,4,1,1,499
Alex Oliveira,Max Griffin,Red,Welterweight,9,7,3,5,500
Marcin Tybura,Serghei Spivac,Red,Heavyweight,4,5,1,1,501
Ion Cutelaba,Magomed Ankalaev,Blue,LightHeavyweight,4,3,3,1,502
Felicia Spencer,Zarah Fairn,Red,WomenFeatherweight,1,1,0,1,503
Grant Dawson,Darrick Minner,Red,Featherweight,2,0,0,0,504
Brendan Allen,Tom Breese,Red,Middleweight,1,0,4,1,505
Gabriel Silva,Kyler Phillips,Blue,Bantamweight,0,1,0,0,506
Joseph Benavidez,Deiveson Figueiredo,Blue,Flyweight,15,3,6,1,507
Megan Anderson,Norma Dumont,Red,WomenFeatherweight,2,2,0,0,508
Jordan Griffin,TJ Brown,Red,Featherweight,0,2,0,0,509
Sean Brady,Ismail Naurdiev,Red,Welterweight,1,0,2,1,510
Aalon Cruz,Spike Carlyle,Blue,Featherweight,0,0,0,0,511
Luis Pena,Steve Garcia,Red,Lightweight,3,2,0,0,512
Jimmy Crute,Michal Oleksiejczuk,Red,LightHeavyweight,2,1,2,2,513
Paul Felder,Dan Hooker,Blue,Lightweight,9,4,9,4,514
Jalin Turner,Josh Culibao,Red,Lightweight,1,2,0,0,515
Karolina Kowalkiewicz,Yan Xiaonan,Blue,WomenStrawweight,5,5,4,0,516
Ben Sosoli,Marcos Rogerio de Lima,Blue,Heavyweight,0,1,5,4,517
Brad Riddell,Magomed Mustafaev,Red,Lightweight,1,0,3,1,518
Kevin Aguilar,Zubaira Tukhugov,Blue,Featherweight,2,1,3,2,519
Jake Matthews,Emil Meek,Red,Welterweight,8,4,1,2,520
Loma Lookboonmee,Angela Hill,Blue,WomenStrawweight,1,0,6,7,521
Kai Kara-France,Tyson Nam,Red,Flyweight,3,1,0,1,522
Callan Potter,Song Kenan,Blue,Welterweight,1,1,3,1,523
Priscila Cachoeira,Shana Dobson,Red,WomenFlyweight,0,3,1,2,524
Tim Means,Daniel Rodriguez,Blue,Welterweight,11,9,0,0,525
Lando Vannata,Yancy Medeiros,Red,Lightweight,2,6,6,7,526
Brok Weaver,Kazula Vargas,Red,Lightweight,0,0,0,1,527
Montana De La Rosa,Mara Romero Borella,Red,WomenFlyweight,3,1,2,2,528
Rogerio Bontorin,Ray Borg,Blue,Flyweight,2,0,6,4,529
Diego Sanchez,Michel Pereira,Red,Welterweight,18,12,1,1,530
Corey Anderson,Jan Blachowicz,Blue,LightHeavyweight,10,4,8,5,531
John Dodson,Nathaniel Wood,Red,Bantamweight,9,6,3,0,532
Jim Miller,Scott Holtzman,Blue,Lightweight,20,13,6,3,533
Devin Clark,Dequan Townsend,Red,LightHeavyweight,4,4,0,2,534
Casey Kenney,Merab Dvalishvili,Blue,Bantamweight,2,0,2,2,535
Mark De La Rosa,Raulian Paiva,Blue,Flyweight,2,3,0,2,536
Macy Chiasson,Shanna Young,Red,WomenBantamweight,3,1,0,0,537
Valentina Shevchenko,Katlyn Chookagian,Red,WomenFlyweight,7,2,6,2,538
Juan Adams,Justin Tafa,Blue,Heavyweight,1,2,0,1,539
Trevin Giles,James Krause,Red,Middleweight,2,2,8,3,540
Derrick Lewis,Ilir Latifi,Red,Heavyweight,13,5,7,5,541
Lauren Murphy,Andrea Lee,Red,WomenFlyweight,3,4,3,1,542
Jon Jones,Dominick Reyes,Red,LightHeavyweight,19,2,6,0,543
Mirsad Bektic,Dan Ige,Blue,Featherweight,6,2,4,1,544
Alex Morono,Khaos Williams,Blue,Welterweight,6,3,0,0,545
Andre Ewell,Jonathan Martinez,Red,Bantamweight,2,2,2,1,546
Domingo Pilarte,Journey Newson,Draw,Bantamweight,0,1,0,1,547
Miles Johns,Mario Bautista,Blue,Bantamweight,1,0,1,1,548
Austin Lingo,Youssef Zalal,Blue,Featherweight,0,0,0,0,549
Curtis Blaydes,Junior Dos Santos,Red,Heavyweight,7,3,15,5,550
Justine Kish,Lucie Pudilova,Red,WomenFlyweight,2,2,2,4,551
Bevon Lewis,Dequan Townsend,Red,Middleweight,0,2,0,1,552
Jordan Espinosa,Alex Perez,Blue,Flyweight,1,1,4,1,553
Jamahal Hill,Darko Stosic,Red,LightHeavyweight,0,0,1,2,554
Rafael Dos Anjos,Michael Chiesa,Blue,Welterweight,18,10,9,4,555
Montel Jackson,Felipe Colares,Red,Bantamweight,2,1,1,1,556
Arnold Allen,Nik Lentz,Red,Featherweight,6,0,14,9,557
Sara McMann,Lina Lansberg,Red,WomenBantamweight,5,5,4,3,558
Hannah Cifers,Angela Hill,Blue,WomenStrawweight,2,1,5,7,559
Brett Johns,Tony Gravely,Red,Bantamweight,3,2,0,0,560
Herbert Burns,Nate Landwehr,Red,Featherweight,0,0,0,0,561
Anthony Pettis,Diego Ferreira,Blue,Lightweight,9,8,7,2,562
Tim Elliott,Askar Askarov,Blue,Flyweight,4,7,0,1,563
Aleksei Oleinik,Maurice Greene,Red,Heavyweight,6,4,3,1,564
Holly Holm,Raquel Pennington,Red,WomenBantamweight,5,5,7,4,565
Conor McGregor,Donald Cerrone,Red,Welterweight,9,2,23,10,566
Roxanne Modafferi,Maycee Barber,Red,WomenFlyweight,2,4,3,0,567
Andre Fili,Sodiq Yusuff,Blue,Featherweight,8,5,3,0,568
Brian Kelleher,Ode Osbourne,Red,Bantamweight,3,3,0,0,569
Drew Dober,Nasrat Haqparast,Red,Lightweight,7,6,3,1,570
Aleksa Camur,Justin Ledet,Red,LightHeavyweight,0,0,3,2,571
Sabina Mazo,JJ Aldrich,Red,WomenFlyweight,1,1,4,2,572
Dooho Choi,Charles Jourdain,Blue,Featherweight,3,2,0,1,573
Volkan Oezdemir,Aleksandar Rakic,Red,LightHeavyweight,4,3,4,0,574
Frankie Edgar,Chan Sung Jung,Blue,Featherweight,17,8,5,2,575
Da-Un Jung,Mike Rodriguez,Red,LightHeavyweight,1,0,1,2,576
SeungWoo Choi,Suman Mokhtarian,Red,Featherweight,0,2,0,1,577
Kyung Ho Kang,Pingyuan Liu,Red,Bantamweight,5,3,2,1,578
Ciryl Gane,Tanner Boser,Red,Heavyweight,2,0,1,0,579
Dong Hyun Ma,Omar Morales,Blue,Lightweight,3,4,0,0,580
Miranda Granger,Amanda Lemos,Blue,WomenStrawweight,1,0,0,1,581
Alexandre Pantoja,Matt Schnell,Red,Flyweight,5,2,4,2,582
Heili Alateng,Ryan Benoit,Red,Bantamweight,1,0,3,3,583
Junyong Park,Marc-Andre Barriault,Red,Middleweight,0,1,0,2,584
Raoni Barcelos,Said Nurmagomedov,Red,Bantamweight,3,0,2,0,585
Geoff Neal,Mike Perry,Red,Welterweight,4,0,6,5,586
Ian Heinisch,Omari Akhmedov,Blue,Middleweight,2,1,7,4,587
Amanda Nunes,Germaine de Randamie,Red,WomenBantamweight,11,1,6,1,588
Max Holloway,Alexander Volkanovski,Blue,Featherweight,17,4,7,0,589
Petr Yan,Urijah Faber,Red,Bantamweight,5,0,11,6,590
Kamaru Usman,Colby Covington,Red,Welterweight,10,0,10,1,591
Marlon Moraes,Jose Aldo,Red,Bantamweight,4,2,10,4,592
Ketlen Vieira,Irene Aldana,Blue,WomenBantamweight,4,0,4,3,593
Brandon Moreno,Kai Kara-France,Red,Flyweight,3,3,3,0,594
Matt Brown,Ben Saunders,Red,Welterweight,14,10,9,9,595
Chase Hooper,Daniel Teymur,Red,Featherweight,0,0,1,3,596
Jessica Eye,Viviane Araujo,Red,WomenFlyweight,4,7,2,0,597
Punahele Soriano,Oskar Piechota,Red,Middleweight,0,0,2,2,598
Marina Rodriguez,Cynthia Calvillo,Draw,WomenStrawweight,2,1,5,1,599
Alistair Overeem,Jairzinho Rozenstruik,Blue,Heavyweight,10,6,3,0,600
Aspen Ladd,Yana Kunitskaya,Red,WomenBantamweight,3,1,2,1,601
Rob Font,Ricky Simon,Red,Bantamweight,6,3,3,1,602
Cody Stamann,Song Yadong,Draw,Bantamweight,4,1,4,0,603
Stefan Struve,Ben Rothwell,Blue,Heavyweight,13,9,6,6,604
Thiago Alves,Tim Means,Blue,Welterweight,15,11,10,9,605
Billy Quarantillo,Jacob Kilburn,Red,Featherweight,0,0,0,0,606
Joe Solecki,Matt Wiman,Red,Lightweight,0,0,10,6,607
Bryce Mitchell,Matt Sayles,Red,Featherweight,2,0,1,1,608
Virna Jandiroba,Mallory Martin,Red,WomenStrawweight,0,1,0,0,609
Makhmud Muradov,Trevor Smith,Red,Middleweight,1,0,5,6,610
Sergio Moraes,James Krause,Blue,Welterweight,8,5,7,3,611
Charles Oliveira,Jared Gordon,Red,Lightweight,15,9,3,2,612
Jan Blachowicz,Jacare Souza,Red,LightHeavyweight,7,5,9,4,613
Ricardo Ramos,Eduardo Garagorri,Red,Featherweight,4,1,1,0,614
Antonio Arroyo,Andre Muniz,Blue,Middleweight,0,0,0,0,615
Mauricio Rua,Paul Craig,Draw,LightHeavyweight,10,9,4,4,616
Markus Perez,Wellington Turman,Blue,Middleweight,2,2,0,1,617
Warlley Alves,Randy Brown,Blue,Welterweight,7,3,5,3,618
Ariane Lipski,Isabela de Padua,Red,WomenFlyweight,0,2,0,0,619
Douglas Silva de Andrade,Renan Barao,Red,Featherweight,3,3,9,7,620
Vanessa Melo,Tracy Cortez,Blue,WomenBantamweight,0,1,0,0,621
Francisco Trinaldo,Bobby Green,Red,Lightweight,13,6,5,5,622
Alexander Volkov,Greg Hardy,Red,Heavyweight,4,1,2,2,623
Shamil Gamzatov,Klidson Abreu,Red,LightHeavyweight,0,0,1,1,624
Zelim Imadaev,Danny Roberts,Blue,Welterweight,0,1,5,4,625
Rustam Khabilov,Sergey Khandozhko,Red,Welterweight,9,3,1,0,626
Khadis Ibragimov,Ed Herman,Blue,LightHeavyweight,0,1,11,11,627
Ramazan Emeev,Anthony Rocco Martin,Blue,Welterweight,3,0,8,5,628
Zabit Magomedsharipov,Calvin Kattar,Red,Featherweight,5,0,4,1,629
Magomed Ankalaev,Dalcha Lungiambula,Red,LightHeavyweight,2,1,1,0,630
Abubakar Nurmagomedov,David Zawada,Blue,Welterweight,0,0,0,2,631
Roman Kopylov,Karl Roberson,Blue,Middleweight,0,0,3,2,632
Alexander Yakovlev,Roosevelt Roberts,Blue,Lightweight,3,4,2,1,633
Jessica-Rose Clark,Pannie Kianzad,Blue,WomenBantamweight,2,1,0,2,634
Grigory Popov,Davey Grant,Blue,Bantamweight,0,1,1,3,635
Kevin Lee,Gregor Gillespie,Red,Lightweight,10,5,6,0,636
Stephen Thompson,Vicente Luque,Red,Welterweight,9,5,10,2,637
Jorge Masvidal,Nate Diaz,Red,Welterweight,11,6,15,9,638
Shane Burgos,Makwan Amirkhani,Red,Featherweight,5,1,5,1,639
Corey Anderson,Johnny Walker,Red,LightHeavyweight,9,4,3,0,640
Kelvin Gastelum,Darren Till,Blue,Middleweight,10,5,5,3,641
Derrick Lewis,Blagoy Ivanov,Red,Heavyweight,12,5,2,1,642
Brad Tavares,Edmen Shahbazyan,Blue,Middleweight,12,5,3,0,643
Andrei Arlovski,Jairzinho Rozenstruik,Blue,Heavyweight,17,13,2,0,644
Katlyn Chookagian,Jennifer Maia,Red,WomenFlyweight,5,2,2,1,645
Julio Arce,Hakeem Dawodu,Blue,Featherweight,3,1,3,1,646
Lyman Good,Chance Rencountre,Red,Welterweight,2,2,2,1,647
Ciryl Gane,Don'Tale Mayes,Red,Heavyweight,1,0,0,0,648
Michael Johnson,Stevie Ray,Blue,Lightweight,11,10,6,4,649
Enrique Barzola,Movsar Evloev,Blue,Featherweight,6,2,1,0,650
Randa Markos,Ashley Yoder,Red,WomenStrawweight,5,7,2,3,651
Frank Camacho,Beneil Dariush,Blue,Lightweight,2,3,10,5,652
Muslim Salikhov,Laureano Staropoli,Red,Welterweight,2,1,2,0,653
Demian Maia,Ben Askren,Red,Welterweight,21,9,1,1,654
Alex White,Rafael Fiziev,Blue,Lightweight,4,5,0,1,655
Maurice Greene,Sergei Pavlovich,Blue,Heavyweight,3,0,1,1,656
Loma Lookboonmee,Aleksandra Albu,Red,WomenStrawweight,0,0,2,1,657
Raphael Pessoa,Jeff Hughes,Red,Heavyweight,0,1,0,2,658
Maycee Barber,Gillian Robertson,Red,WomenFlyweight,2,0,4,1,659
Greg Hardy,Ben Sosoli,Draw,Heavyweight,2,1,0,0,660
Deron Winn,Darren Stewart,Blue,Middleweight,1,0,3,5,661
Molly McCann,Diana Belbita,Red,WomenFlyweight,2,1,0,0,662
Charles Rosa,Manny Bermudez,Red,Featherweight,2,3,3,1,663
Joe Lauzon,Jonathan Pearce,Red,Lightweight,14,12,0,0,664
Dominick Reyes,Chris Weidman,Red,LightHeavyweight,5,0,10,4,665
Yair Rodriguez,Jeremy Stephens,Red,Featherweight,7,2,15,16,666
Randy Costa,Boston Salmon,Red,Bantamweight,0,1,0,1,667
Brendan Allen,Kevin Holland,Red,Middleweight,0,0,3,1,668
Kyle Bochniak,Sean Woodson,Blue,Featherweight,2,4,0,0,669
Daniel Spitz,Tanner Boser,Blue,Heavyweight,1,2,0,0,670
Court McGee,Sean Brady,Blue,Welterweight,8,7,0,0,671
Ryan Spann,Devin Clark,Red,LightHeavyweight,2,0,4,3,672
Mackenzie Dern,Amanda Ribas,Blue,WomenStrawweight,2,0,1,0,673
Mike Davis,Thomas Gifford,Red,Lightweight,0,1,0,1,674
Cub Swanson,Kron Gracie,Red,Featherweight,10,7,1,0,675
Matt Frevola,Luis Pena,Red,Lightweight,1,2,3,1,676
Eryk Anders,Gerald Meerschaert,Red,Middleweight,4,4,5,3,677
Joanna Jedrzejczyk,Michelle Waterson,Red,WomenStrawweight,9,3,5,2,678
Niko Price,James Vick,Red,Welterweight,5,4,9,4,679
Max Griffin,Alex Morono,Blue,Welterweight,3,4,5,3,680
Deiveson Figueiredo,Tim Elliott,Red,Flyweight,5,1,4,6,681
Marlon Vera,Andre Ewell,Red,Bantamweight,8,4,2,1,682
Miguel Baeza,Hector Aldana,Red,Welterweight,0,0,0,2,683
Marvin Vettori,Andrew Sanchez,Red,Middleweight,3,3,4,2,684
JJ Aldrich,Lauren Mueller,Red,WomenFlyweight,3,2,1,2,685
Justin Tafa,Yorgan De Castro,Blue,Heavyweight,0,0,0,0,686
Robert Whittaker,Israel Adesanya,Blue,Middleweight,11,2,6,0,687
Jake Matthews,Rostem Akman,Red,Welterweight,7,4,0,1,688
Tai Tuivasa,Serghei Spivac,Blue,Heavyweight,3,2,0,1,689
Brad Riddell,Jamie Mullarkey,Red,Lightweight,0,0,0,0,690
Al Iaquinta,Dan Hooker,Blue,Lightweight,9,4,8,4,691
Callan Potter,Maki Pitolo,Red,Welterweight,0,1,0,0,692
Luke Jumeau,Dhiego Lima,Blue,Welterweight,2,1,3,5,693
Megan Anderson,Zarah Fairn,Red,WomenFeatherweight,1,2,0,0,694
Khalid Taha,Bruno Silva,Draw,Bantamweight,1,1,0,0,695
Nadia Kassem,Ji Yeon Kim,Blue,WomenFlyweight,1,1,2,2,696
Ion Cutelaba,Khalil Rountree Jr.,Red,LightHeavyweight,3,3,4,4,697
Michal Oleksiejczuk,Ovince Saint Preux,Blue,LightHeavyweight,2,1,11,8,698
Alen Amedovski,John Phillips,Blue,Middleweight,0,1,0,3,699
Nicolas Dalby,Alex Oliveira,Red,Welterweight,1,3,9,6,700
Gunnar Nelson,Gilbert Burns,Blue,Welterweight,8,4,9,3,701
Jack Hermansson,Jared Cannonier,Blue,Middleweight,7,2,5,4,702
Mark Madsen,Danilo Belluardo,Red,Lightweight,0,0,0,1,703
Alessio Di Chirico,Makhmud Muradov,Blue,Middleweight,3,3,0,0,704
Siyar Bahadurzada,Ismail Naurdiev,Blue,Welterweight,4,3,1,1,705
Macy Chiasson,Lina Lansberg,Blue,WomenBantamweight,3,0,3,3,706
Brandon Davis,Giga Chikadze,Blue,Featherweight,2,4,0,0,707
Marc Diakiese,Lando Vannata,Red,Lightweight,4,3,2,5,708
Jack Shore,Nohelin Hernandez,Red,Bantamweight,0,0,0,1,709
Martin Bravo,Steven Peterson,Blue,Featherweight,1,2,1,3,710
Jose Quinonez,Carlos Huachin,Red,Bantamweight,4,2,0,1,711
Carla Esparza,Alexa Grasso,Red,WomenStrawweight,5,4,3,2,712
Ariane Carnelossi,Angela Hill,Blue,WomenStrawweight,0,0,4,7,713
