R_fighter,B_fighter,Winner,weight_class,R_wins,R_losses,B_wins,B_losses,fight_number
Devonte Smith,Justin Jaynes,Red,CatchWeight,2,1,1,2,72
Michael Johnson,Clay Guida,Blue,Lightweight,11,12,15,14,73
Alistair Overeem,Alexander Volkov,Blue,Heavyweight,12,7,6,2,74
Diego Ferreira,Beneil Dariush,Blue,Lightweight,8,2,13,5,75
Cory Sandhagen,Frankie Edgar,Red,Bantamweight,6,1,18,9,76
Mike Rodriguez,Danilo Marques,Blue,LightHeavyweight,2,4,1,0,77
Ode Osbourne,Jerome Rivera,Red,Featherweight,0,1,0,2,78
SeungWoo Choi,Youssef Zalal,Red,Featherweight,1,2,3,1,79
Molly McCann,Lara Procopio,Blue,WomenFlyweight,3,2,0,1,80
Timur Valiev,Martin Day,Red,Featherweight,0,1,0,3,81
Dan Hooker,Michael Chandler,Blue,Lightweight,10,5,0,0,82
Andrew Sanchez,Makhmud Muradov,Blue,Middleweight,5,3,2,0,83
Julianna Pena,Sara McMann,Red,WomenBantamweight,5,2,6,5,84
Jessica Eye,Joanne Calderwood,Blue,WomenFlyweight,5,8,6,5,85
Dustin Poirier,Conor McGregor,Red,Lightweight,18,6,10,2,86
Brad Tavares,Antonio Carlos Junior,Red,Middleweight,12,6,7,5,87
Arman Tsarukyan,Matt Frevola,Red,Lightweight,2,1,2,2,88
Marina Rodriguez,Amanda Ribas,Red,WomenStrawweight,2,3,4,0,89
Amir Albazi,Zhalgas Zhumagulov,Red,Flyweight,1,0,0,1,90
Khalil Rountree Jr.,Marcin Prachnio,Blue,LightHeavyweight,4,5,0,3,91
Nik Lentz,Movsar Evloev,Blue,CatchWeight,14,10,3,0,92
Ricky Simon,Gaetano Pirrello,Red,Bantamweight,4,2,0,0,93
Omari Akhmedov,Tom Breese,Red,Middleweight,8,5,5,2,94
Warlley Alves,Mounir Lazzez,Red,Welterweight,7,4,1,0,95
Matt Schnell,Tyson Nam,Red,Flyweight,4,3,2,2,96
Roxanne Modafferi,Viviane Araujo,Blue,WomenFlyweight,4,5,3,1,97
Ike Villanueva,Vinicius Moreira,Red,LightHeavyweight,0,2,0,3,98
Michael Chiesa,Neil Magny,Red,Welterweight,10,4,17,6,99
Lerone Murphy,Douglas Silva de Andrade,Red,Featherweight,1,1,4,3,100
Su Mudaerji,Zarrukh Adashev,Red,Flyweight,2,1,0,1,101
Francisco Figueiredo,Jerome Rivera,Red,Flyweight,0,0,0,1,102
Mike Davis,Mason Jones,Red,Lightweight,1,1,0,0,103
Dalcha Lungiambula,Markus Perez,Red,Middleweight,1,1,2,4,104
Umar Nurmagomedov,Sergey Morozov,Red,Bantamweight,0,0,0,0,105
Victoria Leonardo,Manon Fiorot,Blue,WomenFlyweight,0,0,0,0,106
Wu Yanan,Joselyne Edwards,Blue,WomenBantamweight,1,2,0,0,107
Punahele Soriano,Dusko Todorovic,Red,Middleweight,1,0,1,0,108
Carlos Felipe,Justin Tafa,Red,Heavyweight,1,1,1,1,109
Carlos Condit,Matt Brown,Red,Welterweight,8,9,15,11,110
David Zawada,Ramazan Emeev,Blue,Welterweight,1,2,4,1,111
Joaquin Buckley,Alessio Di Chirico,Blue,Middleweight,2,1,3,5,112
Santiago Ponzinibbio,Li Jingliang,Blue,Welterweight,9,2,9,4,113
Max Holloway,Calvin Kattar,Red,Featherweight,17,6,6,2,114
Sarah Moras,Vanessa Melo,Blue,WomenBantamweight,3,5,0,3,115
Jacob Kilburn,Austin Lingo,Blue,Featherweight,0,1,0,1,116
Marlon Moraes,Rob Font,Blue,Bantamweight,5,3,7,3,117
Sijara Eubanks,Pannie Kianzad,Blue,WomenBantamweight,4,3,2,2,118
Deron Winn,Antonio Arroyo,Red,CatchWeight,1,2,0,1,119
Stephen Thompson,Geoff Neal,Red,Welterweight,10,5,5,0,120
Jose Aldo,Marlon Vera,Red,Bantamweight,10,6,10,5,121
Anthony Pettis,Alex Morono,Red,Welterweight,10,9,7,4,122
Marcin Tybura,Greg Hardy,Red,Heavyweight,7,5,4,3,123
Michel Pereira,Khaos Williams,Red,Welterweight,2,2,2,0,124
Gillian Robertson,Taila Santos,Blue,WomenFlyweight,6,2,1,1,125
Jimmy Flick,Cody Durden,Red,Flyweight,0,0,0,1,126
Tafon Nchukwi,Jamie Pickett,Red,Middleweight,0,0,0,0,127
Christos Giagos,Carlton Minus,Red,CatchWeight,3,4,0,1,128
Renato Moicano,Rafael Fiziev,Blue,Lightweight,6,3,2,1,129
Kevin Holland,Jacare Souza,Red,Middleweight,7,2,9,5,130
Mackenzie Dern,Virna Jandiroba,Red,WomenStrawweight,4,1,2,1,131
Tony Ferguson,Charles Oliveira,Blue,Lightweight,15,2,17,9,132
Deiveson Figueiredo,Brandon Moreno,Draw,Flyweight,9,1,6,3,133
Junior Dos Santos,Ciryl Gane,Blue,Heavyweight,15,7,3,0,134
Gavin Tucker,Billy Quarantillo,Red,Featherweight,3,1,3,0,135
Cub Swanson,Daniel Pineda,Red,Featherweight,11,7,4,4,136
Tecia Torres,Sam Hughes,Red,WomenStrawweight,7,5,0,0,137
Chase Hooper,Peter Barrett,Red,Featherweight,1,1,0,1,138
Gabriel Benitez,Justin Jaynes,Red,Lightweight,5,4,1,1,139
Roman Dolidze,John Allan,Red,LightHeavyweight,1,0,0,1,140
Ilia Topuria,Damon Jackson,Red,Featherweight,1,0,1,3,141
Louis Smolka,Jose Quinonez,Red,Bantamweight,7,7,5,3,142
Gian Villante,Jake Collier,Blue,Heavyweight,7,9,3,4,143
Ovince Saint Preux,Jamahal Hill,Blue,LightHeavyweight,13,9,1,1,144
Matt Wiman,Jordan Leavitt,Blue,Lightweight,10,7,0,0,145
Jack Hermansson,Marvin Vettori,Blue,Middleweight,8,3,5,3,146
Ashlee Evans-Smith,Norma Dumont,Blue,WomenBantamweight,3,4,0,1,147
Jonathan Pearce,Kai Kamaka,Red,Featherweight,0,1,1,0,148
Miguel Baeza,Takashi Sato,Red,Welterweight,2,0,2,1,149
Josh Parisian,Parker Porter,Blue,Heavyweight,0,0,0,1,150
Anthony Smith,Devin Clark,Red,LightHeavyweight,8,6,6,4,151
Spike Carlyle,Bill Algeo,Blue,Featherweight,1,1,0,1,152
Martin Day,Anderson Dos Santos,Blue,Bantamweight,0,2,0,2,153
Luke Sanders,Nate Maness,Blue,CatchWeight,3,3,1,0,154
Gina Mazany,Rachael Ostovich,Red,WomenFlyweight,1,4,1,2,155
Su Mudaerji,Malcolm Gordon,Red,Flyweight,1,1,0,1,156
Brandon Moreno,Brandon Royval,Red,Flyweight,5,3,2,0,157
Joaquin Buckley,Jordan Wright,Red,Middleweight,1,1,1,0,158
Katlyn Chookagian,Cynthia Calvillo,Red,WomenFlyweight,7,4,6,2,159
Antonina Shevchenko,Ariane Lipski,Red,WomenFlyweight,2,2,2,2,160
Valentina Shevchenko,Jennifer Maia,Red,WomenFlyweight,8,2,3,2,161
Deiveson Figueiredo,Alex Perez,Red,Flyweight,8,1,6,1,162
Mauricio Rua,Paul Craig,Blue,LightHeavyweight,11,10,5,5,163
Mike Perry,Tim Means,Blue,Welterweight,7,6,12,10,164
Alan Jouban,Jared Gooden,Red,Welterweight,7,5,0,0,165
Daniel Rodriguez,Nicolas Dalby,Blue,Welterweight,3,0,2,4,166
Louis Cosce,Sasha Palatnikov,Blue,Welterweight,0,0,0,0,167
Kyle Daukaus,Dustin Stoltzfus,Red,Middleweight,0,1,0,0,168
Ashley Yoder,Miranda Granger,Red,WomenStrawweight,2,5,1,1,169
Kay Hansen,Cory McKenna,Blue,WomenStrawweight,1,0,0,0,170
Randa Markos,Kanako Murata,Blue,WomenStrawweight,6,9,0,0,171
Brendan Allen,Sean Strickland,Blue,CatchWeight,3,0,8,3,172
Geraldo de Freitas,Tony Gravely,Blue,Bantamweight,1,1,0,1,173
Alex Morono,Rhys McKee,Red,Welterweight,6,4,0,1,174
Abdul Razak Alhassan,Khaos Williams,Blue,Welterweight,4,2,1,0,175
Paul Felder,Rafael Dos Anjos,Blue,Lightweight,9,5,18,11,176
Don'Tale Mayes,Roque Martinez,Red,Heavyweight,0,2,0,1,177
Thiago Santos,Glover Teixeira,Blue,LightHeavyweight,13,6,14,5,178
Andrei Arlovski,Tanner Boser,Red,Heavyweight,18,14,3,1,179
Alexandr Romanov,Marcos Rogerio de Lima,Red,Heavyweight,1,0,6,4,180
Claudia Gadelha,Yan Xiaonan,Blue,WomenStrawweight,7,4,5,0,181
Darren Elkins,Eduardo Garagorri,Red,Featherweight,14,8,1,1,182
Giga Chikadze,Jamey Simmons,Red,Featherweight,4,0,0,0,183
Raoni Barcelos,Khalid Taha,Red,Bantamweight,4,0,1,2,184
Trevin Giles,Bevon Lewis,Red,Middleweight,3,2,1,2,185
Gustavo Lopez,Anthony Birchak,Red,Bantamweight,0,1,2,2,186
Max Griffin,Ramiz Brahimaj,Red,Welterweight,3,6,0,0,187
Chris Gruetzemacher,Alexander Hernandez,Blue,Lightweight,2,2,3,2,188
Adrian Yanez,Victor Rodriguez,Red,Bantamweight,0,0,0,0,189
Maurice Greene,Greg Hardy,Blue,Heavyweight,4,2,3,3,190
Sean Strickland,Jack Marshman,Red,Middleweight,7,3,3,4,191
Bobby Green,Thiago Moises,Blue,Lightweight,8,6,2,2,192
Kevin Holland,Charlie Ontiveros,Red,Middleweight,6,2,0,0,193
Uriah Hall,Anderson Silva,Red,Middleweight,8,7,17,7,194
Bryce Mitchell,Andre Fili,Red,Featherweight,4,0,9,6,195
Dustin Jacoby,Justin Ledet,Red,LightHeavyweight,0,2,3,3,196
Cole Williams,Jason Witt,Blue,Welterweight,0,1,0,1,197
Miles Johns,Kevin Natividad,Red,Bantamweight,1,1,0,0,198
Jacob Malkoun,Phil Hawes,Blue,Middleweight,0,0,0,0,199
Alexander Volkov,Walt Harris,Red,Heavyweight,5,2,6,8,200
Magomed Ankalaev,Ion Cutelaba,Red,LightHeavyweight,4,1,4,4,201
Stefan Struve,Tai Tuivasa,Blue,Heavyweight,13,10,3,3,202
